Form Name,Form Number,Case types,Plain language description (1-2 sentences),Additional Comments ,
Child Custody Information Sheet,FL-314-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Explains that family courts uses mediation to help parents create their own parenting plan agreement before the court makes orders about child custody and visitation. This form also explains the next steps if parents do not agree on a parenting plan and includes information about how to find help.  ,,
Request or Response to Request for Separate Trial,FL-315*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Ask the court for a trial to decide one important issue before all other issues in your case. This can also be used to respond to a request for separate trial.,This form is an attachment to either form FL-300 or FL-320.  Should it be noted? (Attachment that can be used to ask the court to set a trial to decide one issue before all other issues in the case),
Request For Orders Regarding Noncompliance With Disclosure Requirements,FL-316,"Divorce, legal separation, annulment","Tell the court that you gave the other party a complete declaration of disclosure as required by law, but the other party did not do the same. Then, list the orders that you want the court to make. This form is always attached to Request for Order (form FL-300).",,
Retirement Plan Joinder-Information Sheet (Family Law),FL-318-INFO,"Divorce, legal separation, annulment","Lists different types of retirement plans and tells you if the plan, by law, needs to be joined (made a party to the case) before the court makes orders that change your legal status and divide the retirement plan.",,
Request for Attorney's Fees and Costs Attachment,FL-319,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Give the court and the other party more details about the order for attorney's fees that you are asking the court to make.,,
Responsive Declaration to Request for Order,FL-320*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Tell the court and the other party if you agree or disagree with the orders the other party asked for in Request for Order (form FL-300).  Also describe the orders you want the court to make instead of those that the other party asked for.,,
Information Sheet: Responsive Declaration to Request for Order,FL-320-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","Explains how to complete Responsive Declaration to Request for Order (form FL-320), file, and have it served.",,
Witness List,FL-321,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Ask the court to allow each person that you list to testify (give evidence in person) at a hearing or trial.  You must also describe what each person is expected to say to the court.,,
Declaration of Counsel for a Child Regarding Qualifications,FL-322,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tells you and the court that the lawyer is qualified to represent a child in the case. This is used by a lawyer to specify the licenses, professional liability insurance, education and training, experience, annual continuing education that satsify the requirements for appointment.",,
Order Appointing Counsel for a Child,FL-323,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",States the court's decision (an order) to appoint a lawyer for your child. Also states the lawyer's rights and responsibilities and how the lawyer will be paid.,,
Attorney for Child in a Family Law Case—Information Sheet,FL-323-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",This answers general questions about lawyers appointed for a child in a family law case.  Questions include: What will the lawyer do?  Who pays the lawyer?  How long will the lawyer represent the child?,,
Declaration of Supervised Visitation Provider,FL-324,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tells you and the court that the person is eligible to be appointed by the court as a paid (professional) or unpaid (nonprofessional) supervised visitation provider. This lists the provider's specific qualifications and says that the person satisfies the appointment requirements.,,
Declaration of Court-Connected Child Custody Evaluator Regarding Qualifications,FL-325*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tells you and the court that the person is a court employee who is eligible to be appointed to as a child custody evaluator.  This is used to list the employee's specific qualifications before the court orders the appointment.,,
Declaration of Private Child Custody Evaluator Regarding Qualifications,FL-326*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tells you and the court that the person is a private professional who is eligible to be appointed to as a child custody evaluator.  This is used to list the person's specific qualifications before the court orders the appointment.,,
Order Appointing Child Custody Evaluator,FL-327*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","States the court's decision (an order) to appoint a licensed psychologist, marriage and family therapist, clinical social worker, or psychiatrist to investigate and make recommendations about child custody and visitation orders that are in your child's best interest.",,
Notice Regarding Confidentiality of Child Custody Evaluation Report,FL-328*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","The child custody evaluator uses this as the first page of the written recommendations for child cusody and a parenting plan in your case. This explains that the recommendation must be kept confidential, lists the exceptions to confidentiality, and warns about penalties for disclosing the report against the child's best interests.",,
Child Custody Evaluation Information Sheet,FL-329-INFO*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Gives general information to parents when the court appoints a child custody evaluator to make recommendations about a parenting plan that is in the child's best interest.,,
Proof of Personal Service,FL-330,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Tells the court that you had the other party served in person with legal papers.  Lists the papers that were served. It also tells when and where the papers were served and who served them.,,
Information Sheet for Proof of Personal Service,FL-330-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Explains who can serve legal documents and how to complete Proof of Personal Service (form FL-330) ,,
"Declaration Regarding Address Verification—Postjudgment Request to Modify a Child Custody, Visitation, or Child Support Order",FL-334,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tells the court that you are certain of the address where the other parent lives and that you had the other parent served by mail at that address with a Request for Order (form FL-300) to change a judgment or permanent orders for child custody, visitation, or child support. This is used as an attachment to a proof of service by mail.",,
Proof of Service by Mail,FL-335,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","Tells the court that you had the other party served legal papers buy mail.  Lists the papers that were served and tells when and where the papers were served, as well as who served them.",,
Information Sheet for Proof of Service by Mail,FL-335-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Explains how to complete Proof of Service by Mail (form FL-335). Also explains who can serve legal papers by mail and which legal papers cannot be served by mail.,,
Order to Pay Waived Court Fees and Costs (Superior Court),FL-336*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",States the court's decision (an order) that a party must pay back the initial fees that the court previously waived (said that the party did not have to pay). Also explains how to ask the court to continue to waive those fees.,,
Application to Set Aside Order to Pay Waived Court Fees - Attachment,FL-337*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the court and the other person in your case that you want the court to continue the order to waive the initial fees in your case. This form is always attached to Request for Order (form FL-300).,,
Order After Hearing on Motion to Set Aside Order to Pay Waived Court Fees (Superior Court),FL-338*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",States the court's decision (an order) when a party asks the court to continue waiving the initial fees in the family law case.,,
Findings and Order After Hearing (Family Law—Custody and Support—Uniform Parentage),FL-340*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","v1 This is used as the first page to list the decisions (orders) that a court made after a hearing. The orders are generally attached to this page.                          v2. This is used as the first page of the decisions (orders) that the court made after a hearing about child custody and visitation (parenting time), child support, spousal or domestic partner support, property, attorney's fees, or other matters. The actual orders are generally attached to this page.",,
Child Custody and Visitation (Parenting Time) Order Attachment,FL-341,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, JV","States the court's decisions (orders) after a hearing about child custody and visitation (parenting time) plans that are in the child's best interest. This can be used as an attachment to many other forms, as noted at the top of form FL-341. ","Not for DV, per Frances. Must use DV-140.",
Supervised Visitation Order,FL-341(A),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, JV",States the court's decisions (orders) after a hearing about supervised visitation (parenting time) or supervised exchanges. This is attached to Child Custody and Visitation (Parenting Time) Order Attachment (form FL-341).,"Not for DV, per Frances. Must use DV-150.",
Child Abduction Prevention Order Attachment,FL-341(B),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, JV",States the court's decisions (order) after a hearing on whether a child is at risk of being kidnapped by a parent. The orders are generally attached to Child Custody and Visitation (Parenting Time) Order Attachment (form FL-341) or Custody Order--Juvenile--Final Judgment (form JV-200). ,"Not for DV, per Frances. Must use DV-145.",
Children's Holiday Schedule Attachment,FL-341(C),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, JV",This can be used as an attachment to many forms. Parents can use the form to describe the holiday parenting plan believed to be in the child's best interests. It can also be used to state the family or juvenile court's decisions (orders) about the child's holiday parenting plan after a hearing. ,Used in DV as attachment to DV-140,
Additional Provisions-Physical Custody Attachment,FL-341(D),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, JV","This can be used as an attachment to many forms.  Parents can use the form to make agreements, or request court orders, about other matters concerning child custody that are in the child's best interest. It can also be used to state family or juvenile court's decisions (orders) about additional child custody issues. ",Used in DV as an attachment to DV-140.,
Joint Legal Custody Attachment,FL-341(E),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, JV","This can be used as an attachment to many forms.  Parents can use the form to make agreements, or request court orders, about how parents will exercise joint legal custody in the child's best interest. It can also be used to state the family or juvenile court's decisions (orders) about additional child custody issues. ",Used in DV as an attachment to DV-140.,
Child Support Information and Order Attachment,FL-342*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","States the court's decisions (orders) about child support. This can be attached to many other forms, including Findings and Order After Hearing (form FL-340), Judgments (forms FL-180 and FL-250), and Restraining Order After Hearing (form DV -130). ",,
Non-Guideline Child Support Findings Attachment,FL-342(A),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","States the court's reasons why it decided (ordered), or the parent's agreed to, child support payments  that are below or above the statewide child support guidelines. This is generally attached to Child Support Information and Order Attachment (form FL-342) or Judgment (form FL-180).",,
"Spousal, Partner, or Family Support Order Attachment",FL-343,"Divorce, legal separation, annulment, Pet. Cust/Support","States the court's decision (order or judgment), or the parties' agreement, about spousal, domestic partner, or family support.",,
Property Order Attachment to Findings and Order After Hearing,FL-344*,"Divorce, legal separation, annulment",States the court's decisions (orders) about the parties' assets and debts. This is attached to Findings and Orde After Hearing (form FL-340).,,
Property Order Attachment to Judgment,FL-345,"Divorce, legal separation, annulment",States the court's decisions about the division of the parties' assets and debts. This is attached to a judgment.,,
Attorney's Fees and Costs Order Attachment,FL-346,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","States the court's decision (an order) about who will pay attorney's fees and cost, the amount of each payment, and when payments are due. This is attached to Findings and Order After Hearing (form FL-340), Judgment (form FL-180 or FL-250), or another document.","Used in DV as attachment to DV-116, DV-130, or DV-730.",
Bifurcation of Status of Marriage or Domestic Partnership—Attachment,FL-347*,"Divorce,  annulment",States the court's decisions (orders) about the date the parties are to become legally single and other orders that are connected to the change of legal status.,,
Pension Benefits--Attachment to Judgment,FL-348,"Divorce, legal separation, annulment",Tells the pension plan administrator that court made temporary orders about the pension until a final order (a qualified domestic relations order) is completed.  Explains what parties need to do to protect their interest in the pension.,,
Stipulation to Establish or Modify Child Support and Order,FL-350*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Parents tell the court about their agreement to make an initial (the first) orders for child support or modify (change) existing orders. The court also uses this to make their agreement a court order.,,
Stipulation and Order for Custody and/or Visitation of Children,FL-355,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Parents tell the court that they have an agreement about child custody and visitation (parenting time) and that the agreement is attach to the form. The court also uses this to make their agreement a  court order.,,
Confidential Request for Special Immigrant Juvenile Findings—Family Law,FL-356*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, Adoption, Other petition for sole physical custody (Special Immigrant Juvenile Findings)","Tell the court and the other parties that you are asking the court for a hearing to give you sole physical custody of the child and make certain findings (conclusions) about the child. Give the court information and documents to support your request for the court to make findings about child custody and make other findings that state (1) it is not legally possible to return the child to the other parent due to abuse, neglect, abandonment, or another legal reason and (2) it is not in the child's best interest to return to the parent's or the child's country of nationality or habitual residence.",Corby will surely be able to state this more concisely.,
Special Immigrant Juvenile Findings,FL-357*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, Adoption, Guardianship, Juvenile (Special Immigrant Juvenile Findings)",States the court's findings (conclusions) after considering facts and evidence included with a Confidential Request for Special Immigrant Juvenile Findings (form FL-355),,
Confidential Response to Request for Special Immigrant Juvenile Findings,FL-358*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, Adoption. Other petition for sole phyiscal custody (Special Immigrant Juvenile Findings)","Tell the court and the other party if you agree or disagree with the findings that the other party requested in form FL-356.  Also,if applicable, describe the findings that you would want the court to make instead of those that the other party asked for.",,
Request for Hearing and Application to Set Aside Support Order Under Family Code Section 3691,FL-360*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, Gov't Support","Tell the court and the other party that the court should dismiss (""set-aside"") an order that requires you to pay support. The grounds for setting aside a support order are: fraud, perjury, or lack of notice. You must also file the request by the time specified in the form.",,
Responsive Declaration to Application to Set Aside Support Order,FL-365*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the court and the other party or parties whether or not you agree to dismiss (set-aside) the support order and give your reasons.,,
Order After Hearing on Motion to Set Aside Support Order,FL-367*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","States the court's decision (an order) after a hearing about a party's request to dismiss (""set-aside"") a support order based on fraud, perjury, or lack of notice.",,
Pleading on Joinder—Employees Benefit Plan,FL-370*,"Divorce, legal separation, annulment",Tells an employee benefit plan administrator that the plan has been made a claiment (a party) to the court case. ,"Note: the packet that must be served on the plan includes: forms FL-375, FL-372, FL-370, FL-374, and a blank FL-373.",
Notice of Motion and Declaration for Joinder,FL-371*,"Divorce, legal separation, annulment",Ask the court to decide (order) to make you a party in the family law case. This is commonly used by a grandparent or a step-parent who wants to participate in the case concerning child custody and visitation (parenting time). ,Other forms needed in this process are Summons (Joinder) (form FL-375)and Responsive Declaration for Motion for Joinder and Consent to Order of Joinder (form FL-373). Some courts also require the person to complete a local form (petition) for child custody joinders or joinders re property. The JC does not have such a petition.,
Request for Joinder of Employee Benefit Plan Order,FL-372*,"Divorce, legal separation, annulment",Tell the court that you want an order for the administrator of an employee benefit plan to become party in the case. Other forms needed in this process are described in ,,
Responsive Declaration to Motion for Joinder and Consent Order of Joinder,FL-373*,"Divorce, legal separation, annulment","Tell the court if you agree with the request that a person be made a party in the family law case, as described in Notice of Motion and Declaration for Joinder (form FL-370).",,
Notice of Appearance and Response of Employee Benefit Plan,FL-374*,"Divorce, legal separation, annulment",The employee benefit plan administrator uses this to respond to the the request to be joined in the family law case.,,
Summons (Joinder),FL-375*,"Divorce, legal separation, annulment",Tells the administrators of an employee benefit plan that they are named as a claimant (a party) in a family law case and what will happen if a response is not filed in 30 days.,,
Application for Expedited Child Support Order,FL-380*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the other parent that you want the court to order that parent to pay a specific amount of child support until trial. Tells you all other forms that are needed in this process.,,
Response to Application for Expedited Child Support Order and Notice of Hearing,FL-381*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","The other parent responds to a request for an expedited chld support order. If applicable, includes details about a hearing before the court makes an order.",,
