adoption,appeals,custody,child-support,civil,civil-harassment,cleaning-criminal-record,conservatorship,criminal,debt-collection,discovery-and-subpoenas,divorce,domestic-violence,elder-abuse,enforcement-of-judgment,eviction,fee-waivers,fl-motions-and-attachments,fl-enforcement,fl-interstate-actions,fl-governmental-child-support,fl-summary-dissolutions,fl-miscellaneous,gender-change,guardianship,gun-violence-prevention,juvenile,language-access,name-change,parentage,probate,proof-of-service,small-claims,traffic
ICWA-030,APP-016-GC,FL-270,FL-220,CIV-165,CH-250,,GC-060,CR-135,EJ-190,,FL-160,DV-175,EA-700,,,FW-016,FL-313-INFO K,FL-490,,FL-634,,FL-985,,GC-060,GV-109 K,JV-136,LA-400 V,,,DE-154,EFS-005-JV S,SC-133,TR-310
ICWA-030(A),APP-016-GC S,FL-300,FL-260,CIV-170,CH-260,,GC-065,CR-136,EJ-195,,FL-161,DV-180,EA-710,,,FW-016-GC,FL-313-INFO S,FL-490 S,,FL-634 S,,,,GC-065,GV-109 S,JV-140,LA-450,,,DE-157,EFS-006,SC-134,TR-310 o
ICWA-040,APP-020,FL-300-INFO,FL-270,CM-010,CH-600,,GC-070,CR-137,PLD-C-001,,FL-165,DV-200,EA-720,,,,FL-313-INFO T,,,FL-635,,,,GC-070,GV-109 V,JV-141,LA-450 C,,,DE-160,EFS-007,SC-135,TR-320
ICWA-050,APP-022,FL-303,FL-300,PLD-050,CH-610,,GC-075,CR-138,PLD-C-001(1),,FL-170,DV-200-INFO,EA-730,,,,FL-313-INFO V,,,FL-640,,,,GC-075,GV-110,JV-150,LA-450 R,,,DE-161,EFS-008,SC-140,TR-321
ICWA-060,APP-025,FL-304-INFO,FL-300-INFO,PLD-C-001,CH-620,,GC-079,CR-141-INFO,PLD-C-001(2),,FL-172,DV-205-INFO,EA-800,,,,FL-314-INFO,,,FL-640 S,,,,GC-079,GV-110 C,JV-180,LA-450 S,,,DE-165,EFS-010,SC-145,TR-500-INFO
,APP-031A,FL-305,FL-303,PLD-C-001(1),CH-630,,GC-079(MA),CR-142,PLD-C-001(3),,FL-174,DV-210,EA-800-INFO,,,,FL-314-INFO C,,,FL-640-INFO,,,,GC-079(MA),GV-110 K,JV-182,LA-450 V,,,DE-166,EFS-020,SC-150,TR-505
,APP-060,FL-306,FL-304-INFO,PLD-C-001(2),CH-700,,GC-080,CR-143,PLD-C-010,,FL-180,DV-250,,,,,FL-314-INFO K,,,FL-640-INFO S,,,,GC-080,GV-110 S,JV-183,,,,DE-172,EFS-050,SC-152,TR-510
,APP-101-INFO,FL-307,FL-305,PLD-C-001(3),CH-710,,GC-080(MA),CR-144,SUM-100,,FL-182,DV-400,,,,,FL-314-INFO S,,,FL-643,,,,GC-080(MA),GV-110 V,JV-184,,,,DE-174,EFS-050(D),SC-200,TR-INST
,APP-102,FL-308,FL-306,PLD-C-010,CH-720,,GC-085,CR-145,SUM-110,,FL-190,DV-400-INFO,,,,,FL-314-INFO V,,,FL-645,,,,GC-085,GV-115,JV-185,,,,DE-200,EFS-050(P),SC-200-INFO,
,APP-103,FL-309,FL-307,PLD-PI-001,CH-730,,GC-090,CR-150,POS-010,,FL-191,DV-500-INFO,,,,,FL-315,,,FL-646,,,,GC-090,GV-115 C,JV-190,,,,DE-221,FL-115,SC-220,
,APP-104,FL-310,FL-308,PLD-PI-001(1),CH-800,,GC-111,CR-151,POS-020,,FL-192,DV-505-INFO,,,,,FL-316,,,FL-650,,,,GC-100,GV-115 K,JV-195,,,,DE-226,FL-330,SC-220-INFO,
,APP-105,FL-311,FL-309,PLD-PI-001(2),CH-800-INFO,,GC-112(A-1),CR-160,POS-030,,FL-195,DV-520-INFO,,,,,FL-318-INFO,,,FL-651,,,,GC-101,GV-115 S,JV-200,,,,DE-260,FL-330-INFO,SC-221,
,APP-106,FL-312,FL-310,PLD-PI-001(3),CLETS-001,,GC-112(A-2),CR-160 S,,,FL-196,DV-530-INFO,,,,,FL-319,,,FL-660,,,,GC-110,GV-115 V,JV-205,,,,DE-265,FL-335,SC-222,
,APP-107,FL-313-INFO,FL-320,PLD-PI-001(4),,,GC-115,CR-161,,,,DV-570,,,,,FL-320,,,FL-661,,,,GC-110(P),GV-116,JV-206,,,,DE-270,FL-335-INFO,SC-223,
,APP-108,FL-314-INFO,FL-320-INFO,PLD-PI-001(5),,,GC-141,CR-162,,,,DV-600,,,,,FL-320 S,,,FL-661-INFO,,,,GC-210(PE),GV-116 C,JV-210,,,,DE-275,FL-686,SC-224,
,APP-109,FL-320,FL-330,PLD-PI-001(6),,,GC-310,CR-165,,,,DV-610,,,,,FL-320-INFO,,,FL-662,,,,GC-211,GV-116 K,JV-212,,,,DE-295,FL-985,SC-225,
,APP-109-INFO,FL-320-INFO,FL-340,PLD-PI-002,,,GC-310(A-PF),CR-168,,,,DV-630,,,,,FL-320-INFO S,,,FL-662-INFO,,,,GC-212,GV-116 S,JV-214,,,,DE-305,GC-020(MA),SC-225A,
,APP-109E,FL-330,FL-350,PLD-PI-003,,,GC-312,CR-170,,,,DV-700,,,,,FL-321,,,FL-663,,,,GC-240,GV-116 V,JV-214(A),,,,DE-310,GC-020(P),SC-290,
,APP-110,FL-330-INFO,,SUM-100,,,GC-313,CR-173,,,,DV-700-INFO,,,,,FL-322,,,FL-663 C,,,,GC-248,GV-120,JV-214-INFO,,,,DE-315,GC-020(PA),SC-300,
,APP-150-INFO,FL-340,,SUM-110,,,GC-314,CR-174,,,,DV-710,,,,,FL-322 S,,,FL-663 K,,,,GC-250,GV-120 C,JV-215,,,,DE-350,GV-200,SC-300-INFO,
,APP-151,FL-355,,POS-010,,,GC-320,CR-180,,,,DV-720,,,,,FL-323,,,FL-663 S,,,,GC-251,GV-120 K,JV-216,,,,DE-351,GV-200-INFO,,
,CR-120,MC-020,,POS-020,,,GC-322,CR-181,,,,DV-730,,,,,FL-323 C,,,FL-663 T,,,,GC-255,GV-120 S,JV-217-INFO,,,,,GV-250,,
,CR-126,MC-025,,POS-020(D),,,GC-330,CR-183,,,,DV-800,,,,,FL-323 K,,,FL-663 V,,,,GC-260,GV-120 V,JV-218,,,,,JV-282,,
,CR-131-INFO,,,POS-020(P),,,GC-331,CR-184,,,,DV-800-INFO,,,,,FL-323 S,,,FL-665,,,,GC-333,GV-120-INFO,JV-219,,,,,JV-310,,
,CR-132,,,POS-030,,,GC-332,CR-185,,,,DV-805,,,,,FL-323 V,,,FL-665 S,,,,GC-334,GV-120-INFO C,JV-220,,,,,JV-510,,
,CR-133,,,POS-030(D),,,GC-333,CR-186,,,,DV-815,,,,,FL-323-INFO,,,FL-666,,,,GC-505,GV-120-INFO K,JV-220(A),,,,,JV-510(A),,
,CR-134,,,POS-030(P),,,GC-334,CR-187,,,,DV-900,,,,,FL-323-INFO C,,,FL-667,,,,GC-510,GV-120-INFO S,JV-220(B),,,,,JV-569,,
,CR-135,,,,,,GC-335,CR-188,,,,DV-901,,,,,FL-323-INFO K,,,FL-670,,,,ICWA-005-INFO,GV-120-INFO V,JV-221,,,,,NC-121,,
,CR-136,,,,,,GC-335A,CR-190,,,,,,,,,FL-323-INFO S,,,FL-675,,,,ICWA-010(A),GV-130,JV-222,,,,,POS-010,,
,CR-137,,,,,,GC-336,CR-191,,,,,,,,,FL-323-INFO V,,,FL-676,,,,ICWA-020,GV-130 C,JV-223,,,,,POS-015,,
,CR-141-INFO,,,,,,GC-340,CR-200,,,,,,,,,FL-324,,,FL-676 S,,,,ICWA-030,GV-130 K,JV-224,,,,,POS-020,,
,CR-142,,,,,,GC-341,CR-210,,,,,,,,,FL-324 S,,,FL-676-INFO,,,,ICWA-030(A),GV-130 S,JV-225,,,,,POS-020(D),,
,CR-143,,,,,,GC-341 S,CR-220,,,,,,,,,FL-325,,,FL-677,,,,ICWA-050,GV-130 V,JV-226,,,,,POS-020(P),,
,CR-144,,,,,,GC-341(MA),CR-250,,,,,,,,,FL-326,,,FL-678,,,,MC-025,GV-200,JV-227,,,,,POS-030,,
,CR-145,,,,,,GC-348,CR-251,,,,,,,,,FL-327,,,FL-679,,,,,GV-200 C,JV-245,,,,,POS-030(D),,
,FW-001,,,,,,GC-348 S,CR-252,,,,,,,,,FL-328,,,FL-679 S,,,,,GV-200 K,JV-247,,,,,POS-030(P),,
,JV-800,,,,,,GC-350,CR-290,,,,,,,,,FL-329-INFO,,,FL-679-INFO,,,,,GV-200 S,JV-250,,,,,POS-040,,
,JV-810,,,,,,GC-355,CR-290(A),,,,,,,,,FL-329-INFO S,,,FL-679-INFO S,,,,,GV-200 V,JV-251,,,,,POS-040(D),,
,JV-816,,,,,,GC-360,CR-290.1,,,,,,,,,FL-330,,,FL-680,,,,,GV-200-INFO,JV-252,,,,,POS-040(P),,
,JV-817,,,,,,GC-361,CR-292,,,,,,,,,FL-330-INFO,,,FL-681,,,,,GV-200-INFO C,JV-252-INFO,,,,,POS-050,,
,JV-822,,,,,,GC-362,CR-300,,,,,,,,,FL-334,,,FL-683,,,,,GV-200-INFO K,JV-255,,,,,POS-050(D),,
,JV-825,,,,,,GC-363,CR-301,,,,,,,,,FL-335,,,FL-684,,,,,GV-200-INFO S,JV-257,,,,,POS-050(P),,
,JV-826,,,,,,GC-364,CR-302,,,,,,,,,FL-335-INFO,,,FL-685,,,,,GV-200-INFO V,JV-280,,,,,SC-104,,
,JV-826 S,,,,,,GC-365,CR-320,,,,,,,,,FL-336,,,FL-686,,,,,GV-250,JV-281,,,,,SC-104A,,
,JV-828,,,,,,GC-366,CR-321,,,,,,,,,FL-337,,,FL-687,,,,,GV-250 C,JV-282,,,,,SC-104B,,
,,,,,,,GC-367,CR-400,,,,,,,,,FL-338,,,FL-687 S,,,,,GV-250 K,JV-285,,,,,SC-104C,,
,,,,,,,GC-368,CR-401,,,,,,,,,FL-340,,,FL-688,,,,,GV-250 S,JV-287,,,,,SC-112A,,
,,,,,,,GC-380,CR-402,,,,,,,,,FL-341,,,FL-688 S,,,,,GV-250 V,JV-290,,,,,SC-113A,,
,,,,,,,GC-385,CR-403,,,,,,,,,FL-341 S,,,FL-692,,,,,GV-600,JV-290-INFO,,,,,SV-200,,
,,,,,,,GC-395,CR-404,,,,,,,,,FL-341(A),,,FL-692 S,,,,,GV-600 C,JV-295,,,,,SV-200-INFO,,
,,,,,,,GC-399,CR-405,,,,,,,,,FL-341(A) S,,,FL-693,,,,,GV-600 K,JV-296,,,,,SV-250,,
,,,,,,,GC-400(A)(1),CR-409,,,,,,,,,FL-341(B),,,FL-694,,,,,GV-600 S,JV-297,,,,,SV-260,,
,,,,,,,GC-400(A)(2),CR-409 C,,,,,,,,,FL-341(B) S,,,FL-694 C,,,,,GV-600 V,JV-298,,,,,WV-200,,
,,,,,,,GC-400(A)(3),CR-409 K,,,,,,,,,FL-341(C),,,FL-694 K,,,,,GV-610,JV-299,,,,,WV-200-INFO,,
,,,,,,,GC-400(A)(4),CR-409 S,,,,,,,,,FL-341(C) S,,,FL-694 S,,,,,GV-610 C,JV-300,,,,,WV-250,,
,,,,,,,GC-400(A)(5),CR-409 V,,,,,,,,,FL-341(D),,,FL-694 T,,,,,GV-610 K,JV-305,,,,,WV-260,,
,,,,,,,GC-400(A)(6),CR-409-INFO,,,,,,,,,FL-341(D) S,,,FL-694 V,,,,,GV-610 S,JV-310,,,,,,,
,,,,,,,GC-400(A)(C),CR-409-INFO C,,,,,,,,,FL-341(E),,,FL-697,,,,,GV-610 V,JV-320,,,,,,,
,,,,,,,GC-400(AP),CR-409-INFO K,,,,,,,,,FL-341(E) S,,,,,,,,GV-620,JV-321,,,,,,,
,,,,,,,GC-400(B),CR-409-INFO S,,,,,,,,,FL-342,,,,,,,,GV-620 C,JV-322,,,,,,,
,,,,,,,GC-400(C)(1),CR-409-INFO V,,,,,,,,,FL-342 S,,,,,,,,GV-620 K,JV-323,,,,,,,
,,,,,,,GC-400(C)(10),CR-410,,,,,,,,,FL-342(A),,,,,,,,GV-620 S,JV-324,,,,,,,
,,,,,,,GC-400(C)(11),CR-410 C,,,,,,,,,FL-343,,,,,,,,GV-620 V,JV-325,,,,,,,
,,,,,,,GC-400(C)(2),CR-410 K,,,,,,,,,FL-344,,,,,,,,GV-630,JV-326,,,,,,,
,,,,,,,GC-400(C)(3),CR-410 S,,,,,,,,,FL-344 S,,,,,,,,GV-630 C,JV-326-INFO,,,,,,,
,,,,,,,GC-400(C)(4),CR-410 V,,,,,,,,,FL-345,,,,,,,,GV-630 K,JV-327,,,,,,,
,,,,,,,GC-400(C)(5),CR-412,,,,,,,,,FL-345 S,,,,,,,,GV-630 S,JV-328,,,,,,,
,,,,,,,GC-400(C)(6),CR-600,,,,,,,,,FL-346,,,,,,,,GV-630 V,JV-330,,,,,,,
,,,,,,,GC-400(C)(7),CR-601,,,,,,,,,FL-347,,,,,,,,GV-700,JV-350-INFO,,,,,,,
,,,,,,,GC-400(C)(8),CR-602,,,,,,,,,FL-348,,,,,,,,GV-700 C,JV-356,,,,,,,
,,,,,,,GC-400(C)(9),CR-603,,,,,,,,,FL-348 S,,,,,,,,GV-700 K,JV-357,,,,,,,
,,,,,,,GC-400(D),CR-604,,,,,,,,,FL-350,,,,,,,,GV-700 S,JV-364,,,,,,,
,,,,,,,GC-400(DIST),CR-605,,,,,,,,,FL-350 S,,,,,,,,GV-700 V,JV-365,,,,,,,
,,,,,,,GC-400(E)(1),,,,,,,,,,FL-355,,,,,,,,GV-710,JV-367,,,,,,,
,,,,,,,GC-400(E)(2),,,,,,,,,,FL-355 S,,,,,,,,GV-710 C,JV-400,,,,,,,
,,,,,,,GC-400(F),,,,,,,,,,FL-356,,,,,,,,GV-710 K,JV-401,,,,,,,
,,,,,,,GC-400(G),,,,,,,,,,FL-356 S,,,,,,,,GV-710 S,JV-402,,,,,,,
,,,,,,,GC-400(NI),,,,,,,,,,FL-357,,,,,,,,GV-710 V,JV-403,,,,,,,
,,,,,,,GC-400(NL),,,,,,,,,,FL-357 S,,,,,,,,GV-720,JV-405,,,,,,,
,,,,,,,GC-400(OCH),,,,,,,,,,FL-358,,,,,,,,GV-720 C,JV-406,,,,,,,
,,,,,,,GC-400(OCR),,,,,,,,,,FL-358 S,,,,,,,,GV-720 K,JV-410,,,,,,,
,,,,,,,GC-400(PH)(1),,,,,,,,,,FL-360,,,,,,,,GV-720 S,JV-412,,,,,,,
,,,,,,,GC-400(PH)(2),,,,,,,,,,FL-365,,,,,,,,GV-720 V,JV-415,,,,,,,
,,,,,,,GC-400(SUM),,,,,,,,,,FL-367,,,,,,,,GV-730,JV-416,,,,,,,
,,,,,,,GC-405(A),,,,,,,,,,FL-370,,,,,,,,GV-730 C,JV-417,,,,,,,
,,,,,,,GC-405(AP),,,,,,,,,,FL-371,,,,,,,,GV-730 K,JV-418,,,,,,,
,,,,,,,GC-405(B),,,,,,,,,,FL-372,,,,,,,,GV-730 S,JV-419,,,,,,,
,,,,,,,GC-405(C),,,,,,,,,,FL-373,,,,,,,,GV-730 V,JV-419A,,,,,,,
,,,,,,,GC-405(D),,,,,,,,,,FL-374,,,,,,,,GV-800,JV-420,,,,,,,
,,,,,,,GC-405(DIST),,,,,,,,,,FL-375,,,,,,,,GV-800 C,JV-421,,,,,,,
,,,,,,,GC-405(E)(1),,,,,,,,,,FL-380,,,,,,,,GV-800 K,JV-425,,,,,,,
,,,,,,,GC-405(E)(2),,,,,,,,,,FL-381,,,,,,,,GV-800 S,JV-426,,,,,,,
,,,,,,,GC-405(F),,,,,,,,,,FL-382,,,,,,,,GV-800 V,JV-430,,,,,,,
,,,,,,,GC-405(G),,,,,,,,,,FL-390,,,,,,,,GV-800-INFO,JV-431,,,,,,,
,,,,,,,GC-405(OCH),,,,,,,,,,FL-391,,,,,,,,GV-800-INFO C,JV-432,,,,,,,
,,,,,,,GC-405(OCR),,,,,,,,,,FL-392,,,,,,,,GV-800-INFO K,JV-433,,,,,,,
,,,,,,,GC-405(PH)(1),,,,,,,,,,FL-393,,,,,,,,GV-800-INFO S,JV-435,,,,,,,
,,,,,,,GC-405(PH)(2),,,,,,,,,,FL-395,,,,,,,,GV-800-INFO V,JV-436,,,,,,,
,,,,,,,GC-405(SUM),,,,,,,,,,FL-396,,,,,,,,,JV-437,,,,,,,
,,,,,,,GC-410,,,,,,,,,,FL-397,,,,,,,,,JV-438,,,,,,,
,,,,,,,,,,,,,,,,,FL-398,,,,,,,,,JV-440,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-441,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-442,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-443,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-445,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-446,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-450,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-451,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-455,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-456,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-457,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-460,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-462,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-464-INFO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-466,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-470,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-472,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-474,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-475,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-477,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-479,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-500,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-501,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-505,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-510,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-510(A),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-520,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-525,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-530,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-531,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-535,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-535(A),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-536,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,JV-537,,,,,,,
